airline,source_city,destination_city,departure_time,arrival_time,stops,class,duration,days_left,price
Air India,Hyderabad,Chennai,05:00,10:24,1,Economy,10.12,18,8356
SpiceJet,Bangalore,Kolkata,04:00,06:40,2,Business,2.41,2,26621
Indigo,Kolkata,Hyderabad,11:00,17:21,0,Economy,2.02,33,4692
Vistara,Delhi,Mumbai,04:00,08:16,1,Economy,2.25,26,6995
Indigo,Delhi,Chennai,06:00,10:02,1,Business,5.21,16,19950
Vistara,Hyderabad,Kolkata,15:00,17:39,1,Business,7.75,13,22838
Air India,Kolkata,Delhi,13:00,17:55,1,Business,7.11,27,21508
SpiceJet,Kolkata,Bangalore,05:00,11:41,1,Economy,2.26,47,5602
SpiceJet,Kolkata,Delhi,09:00,11:10,2,Economy,13.11,39,8659
AirAsia,Delhi,Kolkata,22:00,03:01,2,Economy,11.44,5,12995
Air India,Chennai,Mumbai,19:00,21:00,1,Economy,11.88,9,9661
GO FIRST,Mumbai,Chennai,13:00,15:56,0,Economy,4.65,19,7344
Vistara,Kolkata,Mumbai,04:00,07:14,1,Economy,14.24,35,9880
SpiceJet,Kolkata,Delhi,08:00,12:34,0,Economy,11.21,4,11398
SpiceJet,Mumbai,Chennai,00:00,02:24,2,Economy,11.44,49,8397
Vistara,Mumbai,Kolkata,18:00,00:13,0,Business,3.61,43,16707
Vistara,Kolkata,Delhi,17:00,19:47,0,Economy,14.07,28,8474
GO FIRST,Hyderabad,Chennai,16:00,20:58,2,Economy,7.99,25,9439
Air India,Delhi,Bangalore,10:00,13:56,1,Economy,6.93,11,9369
SpiceJet,Hyderabad,Bangalore,12:00,15:35,2,Business,13.28,47,22139
Vistara,Hyderabad,Bangalore,17:00,21:40,0,Economy,3.18,18,6943
AirAsia,Kolkata,Hyderabad,22:00,02:53,0,Economy,6.53,21,7037
Vistara,Hyderabad,Bangalore,01:00,07:57,0,Economy,7.14,3,8802
GO FIRST,Bangalore,Hyderabad,22:00,03:21,0,Economy,9.24,24,7251
Air India,Chennai,Delhi,01:00,05:13,2,Economy,8.61,27,10538
AirAsia,Delhi,Mumbai,08:00,10:36,0,Economy,11.81,11,9177
GO FIRST,Hyderabad,Chennai,20:00,22:42,1,Economy,12.26,5,11882
AirAsia,Kolkata,Hyderabad,11:00,13:25,2,Economy,9.06,44,8215
GO FIRST,Chennai,Kolkata,11:00,17:39,1,Economy,14.32,45,9127
Air India,Kolkata,Delhi,23:00,05:00,0,Economy,2.76,36,4201
Air India,Kolkata,Chennai,19:00,23:24,1,Economy,13.3,8,10989
GO FIRST,Kolkata,Bangalore,04:00,07:29,1,Economy,7.44,19,9411
Indigo,Delhi,Bangalore,14:00,18:05,1,Business,3.16,15,22022
AirAsia,Hyderabad,Delhi,07:00,11:55,1,Economy,11.8,44,8577
AirAsia,Mumbai,Chennai,14:00,16:51,2,Economy,6.66,43,8942
Indigo,Chennai,Delhi,15:00,17:50,0,Economy,9.66,19,7495
Air India,Mumbai,Hyderabad,15:00,20:35,2,Business,12.3,48,20115
SpiceJet,Delhi,Kolkata,01:00,04:24,2,Economy,9.93,34,10749
SpiceJet,Delhi,Hyderabad,01:00,05:42,0,Economy,11.28,20,7061
Vistara,Mumbai,Bangalore,04:00,10:42,1,Economy,10.77,4,9222
Indigo,Kolkata,Bangalore,18:00,22:19,2,Economy,9.38,38,9228
GO FIRST,Chennai,Bangalore,15:00,17:08,1,Business,14.01,18,22148
Indigo,Delhi,Mumbai,05:00,09:17,1,Economy,4.47,48,6296
SpiceJet,Mumbai,Hyderabad,19:00,00:36,2,Economy,11.67,4,11731
Air India,Delhi,Mumbai,04:00,10:32,2,Economy,11.49,31,11591
Indigo,Delhi,Bangalore,23:00,03:02,0,Economy,10.57,17,9936
SpiceJet,Mumbai,Kolkata,16:00,19:26,0,Economy,7.22,9,8071
AirAsia,Bangalore,Delhi,15:00,18:25,0,Economy,4.1,28,5361
Vistara,Chennai,Bangalore,18:00,22:09,2,Economy,10.11,16,13416
Air India,Chennai,Hyderabad,19:00,21:18,1,Economy,9.45,41,6872
GO FIRST,Delhi,Chennai,06:00,10:05,2,Economy,10.81,47,9523
AirAsia,Delhi,Kolkata,13:00,19:57,2,Economy,4.91,41,6332
Air India,Bangalore,Kolkata,04:00,07:43,2,Economy,13.6,4,11782
GO FIRST,Mumbai,Kolkata,03:00,06:51,1,Economy,14.53,18,9491
Indigo,Delhi,Hyderabad,00:00,02:59,2,Economy,8.82,3,13274
Indigo,Delhi,Bangalore,01:00,03:31,2,Economy,13.64,43,8638
SpiceJet,Hyderabad,Chennai,14:00,17:53,1,Economy,2.91,21,7111
Air India,Kolkata,Hyderabad,12:00,18:51,1,Economy,13.8,33,9224
GO FIRST,Delhi,Hyderabad,17:00,23:42,0,Economy,4.06,22,7341
GO FIRST,Delhi,Bangalore,12:00,18:50,0,Business,11.21,30,22379
GO FIRST,Mumbai,Hyderabad,15:00,17:00,0,Economy,8.79,16,8029
Air India,Kolkata,Hyderabad,13:00,18:23,1,Economy,10.16,44,8488
AirAsia,Kolkata,Hyderabad,09:00,15:26,0,Economy,6.29,13,8329
GO FIRST,Hyderabad,Chennai,08:00,13:57,0,Economy,4.39,35,4409
